timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
32326821447,32326821447,18,40,0,0,0,1517,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32327045274,32327045274,18,40,0,0,0,1533,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32327248378,32327248378,18,40,0,0,0,1587,1512,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32327440618,32327440618,18,40,0,0,0,1587,1510,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32327635643,32327635643,18,40,0,0,0,1542,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32327835761,32327835761,18,40,0,0,0,1537,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32328038974,32328038974,18,40,0,0,0,1551,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32328246952,32328246952,18,40,0,0,0,1558,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32328446763,32328446763,18,40,0,0,0,1558,1503,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32328645982,32328645982,18,40,0,0,0,1563,1490,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32328850440,32328850440,18,40,0,0,0,1564,1490,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32329053383,32329053383,18,40,0,0,0,1543,1505,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32329253382,32329253382,18,40,0,0,0,1517,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32329460721,32329460721,18,40,0,0,0,1515,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32329660583,32329660583,18,40,0,0,0,1515,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32329859768,32329859768,18,40,0,0,0,1515,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32330067571,32330067571,18,40,0,0,0,1451,1498,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32330267820,32330267820,18,40,0,0,0,1470,1470,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32330486946,32330486946,18,40,0,0,0,1489,1475,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32330686965,32330686965,18,40,0,0,0,1512,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32330886224,32330886224,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
